title,likes,comm,uid,udate
놉 ,7,sf와 공포를 섞은 조던필만의 개성이 돋보이는 작품. 기괴하고 색다르다. 신고,need****,22.08.23
멋진 세계 ,6,야쿠쇼 코지를 위한 영화 신고,hime****,22.08.23
놉 ,8,어스보다 깔끔하게 이어지며 끊긴 부분은 없으나 군데군데 구멍들이 조금 아쉽다. 신고,thin****,22.08.23
나 홀로 즐거운 집에 ,1,애새끼가 남의집 물건 훔치는 것을 정당화시키는 미친영화 신고,hymn****,22.08.23
강변호텔 ,4,혹시나 하고 봤다가 늘 실말하게 하는 과대평가된 감독. 좋은 배우들이 있어도 엉성한 철학과 메시지로 좋은 영화가 만들어질 수 없음을 증명함. 매력적인 김민희가 그의 영화에서는 빛을 발하지 못해 늘 아쉬움 신고,song****,22.08.23
헌트 ,7,재밌게 봤어요 대사 전달력이 많이 아쉽습니다. 특히 한국말 하는 외국인 배우분은 도대체 무슨말을 하는지 모르겠어요 ㅋㅋㅋ 신고,wndl****,22.08.23
한산: 용의 출현 ,10,진짜.... 한산으로 인해 이순신장군님이 얼마나 대단한 일을 해낸거지 새삼 역사를 더 배우게 된 계기가 된거 같아요 역사는 아예 담 쌓고 지냈었는데 진짜 너무 멋지고 역사를 더 배워야 겠다는 생각을 가지게 되는 영화 였습니다. 너무 웅장하고 가슴 벅차고 감동적인 영화였어요!! 너무 재밌게 잘 봤습니다!!배우들의 연기들 또한 너무 좋았고 영상미 스토리 연기 모두 완벽했다고 생각합니다!! 신고,2yn0****,22.08.23
모어 ,10,신고,inu4****,22.08.23
헌트 ,10,재밌게 잘 봤습니다. 극본 쓰실때 고생 많으셨겠어요 신고,zino****,22.08.23
외계+인 1부 ,10,난 재미있고 좋던데 평점들이 낮은 이유를모르겠음 신고,ragi****,22.08.23
외계+인 1부 ,1,어느모로 봐도 그냥 어이가 없는 괴망작 신고,omni****,22.08.23
헤어질 결심 ,10,마침내 나를 붕괴시킨 영원한 미결사건 신고,amad****,22.08.23
놉 ,9,압도적인 미지와의 조우. 신고,mpkf****,22.08.23
클로버필드 패러독스 ,2,개연성이 없어서 몰입이 안됨 sf라기보단 판타지 신고,lumi****,22.08.23
한산: 용의 출현 ,2,평점 좋아서 봤는데 그냥 국뽕이라 점수 높은건가? 디테일은 말 할것도 없이 별로였고 조연 캐스팅이 너무 억지로? 넣은 느낌이였음. 일본사람 역할을 하는 배우들이 전부 한국인 이라는것도 어이가 없음 신고,tpru****,22.08.23
캐롤 ,10,내 기억으로 이번이 2차 감상일 텐데 마치 다섯 번쯤 본 것처럼 영화 속 몇몇 장면들이 뇌리에 짙게 남아있는 영화. 잊히지 않는 아름다운 장면들로 기억되는 영화들이 있는데 내겐 이 영화가 그렇다. 신고,hang****,22.08.23
모어 ,10,아름답고 또 아름답다. 나는 나로서 온전히 살아가고 있는지 반추하게 되는 영화. 신고,14le****,22.08.23
놉 ,10,영화보고 해석을 꼭 보시기를 추천합니다 다보고나서 왜 저런장면을 넣었지에 대한 의문이 다 풀림 신고,chow****,22.08.23
헌트 ,6,"다들 알바인가,,?대사 하나도 못 알아듣겠고 영화 이해가 잘 안된당 너무 잔인하고 총만 쏴서 눈 찌푸리면서 봤고 토할 것 같았음연기는 너무 좋았음 신고",yull****,22.08.23
뽀로로 극장판 드래곤캐슬 대모험 ,8,흥미로운 소재와이야기! 신고,hote****,22.08.23
대호 ,10,복잡한 감정이 얽히고 설킨 마지막 장면만 봐도 별 5개임...ㅠㅠ 신고,wbqj****,22.08.23
모어 ,10,"'모어는 모어, 나는 나' 라는 말밖에 떠오르지가 않는다.영화를 보는 내내 아름답단 생각이 가득차고,존재하는 것만으로도 위로를 받게되는 영화.나 자신을 찾길 원하는 사람이 있다면 이 영화를 한번쯤은 꼭 봤으면 하는 영화. 신고",kiki****,22.08.23
미니언즈2 ,9,매력적인소재와 이야기! 신고,hote****,22.08.23
풀타임 ,9,바쁜 현대 속에서 일어나는 생활형 서스펜스 스릴러 신고,prim****,22.08.23
놉 ,8,말초신경을 자극 당한 느낌 신고,adli****,22.08.23
산전수전 ,10,어렸을 때 잼있게 봤던 영화~ 신고,acro****,22.08.23
모어 ,10,명불허전 현 시대의 원포인트 그릿 신고,nove****,22.08.23
헌트 ,9,신고,ya_l****,22.08.23
한산: 용의 출현 ,10,감동이 쓰나미 입니다. 신고,trus****,22.08.23
딥 블루 씨 ,9,깊고 푸른 바다를 꿈꾸는 지니어스 상어양반.. 레니 할린의 최고작. 신고,pont****,22.08.23
놉 ,8,감독이 그려내는 색감과 영상비율이 기억에 남는다 신고,pdkw****,22.08.23
탑건: 매버릭 ,10,역시 멋진 영화 신고,milk****,22.08.23
헌트 ,10,그시대를 겪어봐서 그런가 몰입도 최고로 시간가는줄 몰랐어요. 두분연기도 좋았고요 신고,hjhj****,22.08.23
모어 ,10,멋있어요영화도 잘만들어졌고요. 음악도 좋고 신고,hr12****,22.08.23
외계+인 1부 ,10,내가 본 한국영화 중 CG값 신고,loon****,22.08.23
놉 ,8,"겟 아웃, 어스 그리고 놉으로 이어지는 조던 필 감독의 시선은 항상 신선합니다. 신고",sing****,22.08.23
콜래트럴 ,8,클럽음악이 멤도네!준비주바고~~~진짜로! 신고,zzan****,22.08.23
뽀로로 극장판 드래곤캐슬 대모험 ,10,아이들을 데리고 뽀로로를 보러가는 학부모가 될줄은....몰랐지요 ㅎㅎㅎ 하지만 재밌었어요~ 비록 4살은 무섭다하고 3살은 팝콘만 열심히 먹었지만 ^^ 나와서는 또 보러 가고 싶다 하더라구요 ㅎㅎㅎㅎ 신고,stal****,22.08.23
베토벤 2 ,10,어릴 때 진짜 여러번 봤는데 나이먹고 봐도 넘 재밌네요 ㅜㅜㅜ 넷플올라와서 넘 좋음ㅔ 신고,011_****,22.08.23
